"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","yr","mo"
"This is our country, and we won’t stay trapped beneath glass. Join #WomenforHillary: http://t.co/RQ8cDCw0GU
https://t.co/6WL9CVVmA2",FALSE,724,NA,2015-09-24 18:02:19,FALSE,NA,"647108816983601153",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",491,FALSE,FALSE,NA,NA,2015,9
"Thank you, @Pontifex. We have much to do to care for our planet, strengthen economic opportunity, and defend the rights &amp; dignity of all. -H",FALSE,1924,NA,2015-09-24 17:38:04,FALSE,NA,"647102715617771520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HillaryClinton",940,FALSE,FALSE,NA,NA,2015,9
"""A feminist is by definition someone who believes in equal rights."" —Hillary to Lena Dunham: http://t.co/GEjgbbBH5n http://t.co/n1jSaz4HnX",FALSE,1837,NA,2015-09-24 17:09:11,FALSE,NA,"647095446905688064",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1064,FALSE,FALSE,NA,NA,2015,9
".@lenadunham: ""Do you consider yourself a feminist?""
Hillary: ""Yes. Absolutely."" http://t.co/GEjgbbBH5n http://t.co/mAIB4bL28z",FALSE,2144,NA,2015-09-24 15:46:21,FALSE,NA,"647074600371752960",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",975,FALSE,FALSE,NA,NA,2015,9
"It’s not enough to condemn campus sexual assault. We need to end it. http://t.co/M7x2xuNwpb",FALSE,933,NA,2015-09-24 12:06:04,FALSE,NA,"647019162649280512",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",519,FALSE,FALSE,NA,NA,2015,9
"We must renew the basic bargain of America: If you work hard and you do your part, you should be able to get ahead and stay ahead.",FALSE,1350,NA,2015-09-24 02:04:03,FALSE,NA,"646867663788990464",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",610,FALSE,FALSE,NA,NA,2015,9
"☝️ No, really—read Hillary’s comprehensive plan for lowering health care costs for working families: http://t.co/7f9XkUYrBP",FALSE,463,"HillaryClinton",2015-09-23 22:21:38,FALSE,"646809906373373953","646811687438450688","1339835893","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",269,FALSE,FALSE,NA,NA,2015,9
"Lower health care costs means families should see savings, not insurance companies. Hillary's plan addresses this. https://t.co/3vIluYFcz3",FALSE,579,NA,2015-09-23 22:14:33,FALSE,NA,"646809906373373953",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",331,FALSE,FALSE,NA,NA,2015,9
"Hillary opposes the Keystone pipeline. Read why: http://t.co/Yttouh5fA4 http://t.co/C85aNV07ii",FALSE,727,NA,2015-09-23 20:57:31,FALSE,NA,"646790519918428160",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",472,FALSE,FALSE,NA,NA,2015,9
"Why Hillary opposes the Keystone pipeline: http://t.co/Yttouh5fA4 http://t.co/pnoQAX4P7Z",FALSE,643,NA,2015-09-23 18:48:05,FALSE,NA,"646757948421619712",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",290,FALSE,FALSE,NA,NA,2015,9
